	TCGA-CU-A0YN-11A-11R-A10U-07	TCGA-BT-A20N-11A-11R-A14Y-07	TCGA-CU-A0YR-11A-13R-A10U-07	TCGA-K4-A3WV-11A-21R-A22U-07	TCGA-GD-A2C5-11A-11R-A180-07	TCGA-GD-A3OP-11A-11R-A220-07	TCGA-BT-A20U-11A-11R-A14Y-07	TCGA-GC-A3WC-11A-11R-A22U-07	TCGA-BL-A13J-11A-13R-A10U-07	TCGA-BT-A2LB-11A-11R-A18C-07	TCGA-K4-A5RI-11A-11R-A28M-07	TCGA-BT-A20R-11A-11R-A16R-07	TCGA-K4-A54R-11A-11R-A26T-07	TCGA-BT-A20W-11A-11R-A14Y-07	TCGA-BT-A20Q-11A-11R-A14Y-07	TCGA-GC-A3BM-11A-11R-A22U-07	TCGA-GD-A3OQ-11A-21R-A220-07
158763	0.44	2.61	4.43	0	4.35	0	0.4	0	0	0	0	0	0.36	0	0	0	0
158787	34.51	24.11	36.79	41.22	46.18	26.1	22.59	44.89	18.56	21.32	33.06	30.12	7.75	26.67	23.59	40.07	28.86
158798	0	0	2.03	1.03	2.56	0	0	9.41	0	0	0	4.35	1.06	2.18	0	0	0
158800	3.96	2.23	6.52	10.55	11.73	13.42	2.03	10.71	3.92	1.27	22.26	4.39	0	4.78	6.62	7.88	3.69
158809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16	0
158830	0	3.11	11.38	5.77	18.7	23.93	69.03	36.79	16.75	12.74	68.07	1.33	3.53	12.74	3.11	10.96	3.69
158833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
158835	0	0.87	0	0	0	0	0	0	0	0	0.36	0	0	1.08	0	0	0.73
158866	68.07	68.55	62.56	24.11	10	6.46	12.83	37.05	51.35	39.79	25.17	55.49	8.13	35.76	45.85	33.06	28.24
158880	52.08	33.78	76.17	34.75	10	9.78	14.35	47.84	58.3	7.46	28.86	11.38	8.13	42.41	57.08	18.43	29.27
158931	3.92	22.59	1.22	33.78	5.11	4.98	1.58	2.36	6.41	0	0	3.06	1.06	4.74	1.75	1.19	0.74
158983	0	0	0	0	1.46	0	4.31	0	0	0	0	0	0	5.02	0	6.16	0
159013	56.68	51.35	118.43	199.85	135.24	163.28	78.89	93.35	60.82	92.05	177.53	38.67	190.34	162.14	31.45	141.02	217.27
159090	559.28	389.72	381.68	507.46	457.25	346.29	389.72	368.65	366.09	403.5	387.02	376.41	444.72	417.77	339.14	567.1	514.56
159091	101.54	70.01	88.88	64.34	52.82	80.01	52.82	94.67	58.71	47.17	63	78.89	84.63	54.72	77.25	97.36	67.12
159163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
